Carbon Abatement Contract ID,Contractor Name,Project(s),Project ID,Delivery Obligation,Original volume of abatement committed under contract,Current volume of abatement committed under Optional Delivery contract,Volume of abatement sold to the Commonwealth under contract,Delivery period in years (as set out in the contract),"Total contract length,including time to fulfil Conditions Precedent (as set out in the contract)",Actual contract duration from commencement date,Actual contract duration from contract date,Subject to Conditions Precedent at time of contract,Actual contract end date,Status,Auction date
CAC100911,Terra Carbon Pty Limited,Maranoa Ecosystem Conservation Project,ERF101930,Fixed Delivery,179818,,146129,10.00,10.00,,,No,,Active,Apr-16
CAC101886,LMS Energy Pty Ltd,Rockhampton Landfill Gas Project,ERF157317,Fixed Delivery,149000,,21000,7.00,7.00,,,No,,Active,Apr-21
CAC101947,Graham Kenny Pty Ltd as trustee for the Kenny Discretionary Trust,DAC201507,ERF101942,Fixed Delivery,138000,,121300,10.00,11.22,,,Yes,,Active,Nov-15
CAC101978,Global Renewables Eastern Creek Pty Ltd,Eastern Creek UR3R Facility,EOP100182,Fixed Delivery,1107584,,872037,7.00,7.00,6.97,6.97,No,1/11/2022,Completed,Nov-15
CAC101989,Kimbriki Environmental Enterprises Pty Ltd,Kimbriki LFG Flare Project,ERF101977,Fixed Delivery,79000,,79000,7.00,7.64,6.82,7.46,Yes,27/4/2023,Completed,Nov-15
CAC102002,Clean Energy Technology Holdings Pty. Ltd.,Clean Energy Technology Lighting,ERF101869,Fixed Delivery,2400000,,258163,7.00,7.00,5.63,5.63,No,29/6/2021,Lapsed/Terminated,Nov-15
CAC102010,HALO NATURE RESERVES PTY LTD,Pingine Regeneration Project,EOP101165,Fixed Delivery,186995,,136247,10.00,11.13,,,Yes,,Active,Nov-15
CAC102017,Visy Paper Pty. Ltd. as the trustee for Southern Paper Converters Trust,Visy Paper Reservoir Energy Efficiency Project,EOP101163,Fixed Delivery,17500,,17500,7.00,7.00,6.84,6.84,No,7/3/2023,Completed,Apr-16
CAC102030,Quantum Power Limited,Mindarra Bioenergy Project,ERF101901,Fixed Delivery,140000,,0,7.00,8.49,0.00,1.49,Yes,9/5/2017,Lapsed/Terminated,Nov-15
CAC102040,JDI (Australia) Pty Limited as the Trustee for Dunk Property Investment Trust,Warroo Regeneration Project,ERF101730,Fixed Delivery,131545,,85782,10.00,10.63,,,Yes,,Active,Nov-15
CAC102065,Richard Nielsen,Bally Castle Regeneration Project,ERF101230,Fixed Delivery,272800,,183953,10.00,10.60,,,Yes,,Active,Nov-15
CAC102071,Phillip Ridge,"Jandra/Nulty Regeneration Project
Wapweelah Regeneration Project","ERF101511
ERF101517",Fixed Delivery,1183497,,818497,10.00,10.18,,,Yes,,Active,Nov-15
CAC102100,Adelaide Brighton Cement Limited,Birkenhead Additional Wood Firing Project,ERF101774,Fixed Delivery,143484,,77984,7.19,7.82,,,Yes,,Active,Nov-15
CAC102104,Terra Carbon Pty Limited,Brindingabba HumanInduced Regeneration Project,EOP101242,Fixed Delivery,367241,,258863,10.00,10.00,,,No,,Active,Apr-16
CAC102122,Byron Shire Council,Capture and Combustion of Landfill Gas at Myocum Landfill,EOP100177,Fixed Delivery,15333,,15138,7.32,7.32,7.31,7.31,No,2/3/2023,Completed,Nov-15
CAC102127,Terra Carbon Pty Limited,Lynwood Native Forest Protection Project,EOP101233,Fixed Delivery,439718,,265696,10.00,10.00,,,No,,Active,Apr-16
CAC102128,Terra Carbon Pty Limited,Tanbar Native Forest Protection Project,EOP101241,Fixed Delivery,1234336,,882250,10.00,10.00,,,No,,Active,Apr-16
CAC102131,Terra Carbon Pty Limited,Bloodwood Native Forest Protection Project,ERF101645,Fixed Delivery,287948,,212141,10.00,10.00,,,No,,Active,Apr-16
CAC102132,Terra Carbon Pty Limited,Kaleno Native Forest Protection Project,ERF101920,Fixed Delivery,924533,,479019,10.00,10.00,,,No,,Active,Apr-16
CAC102135,Terra Carbon Pty Limited,Moolakar HumanInduced Regeneration Project,ERF101278,Fixed Delivery,395624,,289547,10.00,10.00,,,No,,Active,Apr-16
CAC102137,Terra Carbon Pty Limited,Curranyalpa HumanInduced Regeneration Project,ERF101269,Fixed Delivery,221813,,164266,10.00,10.00,,,No,,Active,Apr-16
CAC102138,Terra Carbon Pty Limited,Morton Plains HumanInduced Regeneration Project,ERF101395,Fixed Delivery,339641,,246546,10.00,10.00,,,No,,Active,Apr-16
CAC102139,Terra Carbon Pty Limited,Dungarvan HumanInduced Regeneration Project,ERF101403,Fixed Delivery,314931,,228942,10.00,10.00,,,No,,Active,Apr-16
CAC102140,Terra Carbon Pty Limited,Maureenjoy HumanInduced Regeneration Project,ERF101380,Fixed Delivery,258923,,189251,10.00,10.00,,,No,,Active,Apr-16
CAC102141,Terra Carbon Pty Limited,Inverness HumanInduced Regeneration Project,ERF101492,Fixed Delivery,331045,,226193,10.00,10.00,,,No,,Active,Apr-16
CAC102142,Terra Carbon Pty Limited,Rose Isle HumanInduced Regeneration Project,ERF101641,Fixed Delivery,190158,,114458,10.00,10.00,,,No,,Active,Apr-16
CAC102146,Terra Carbon Pty Limited,Lakemere HumanInduced Regeneration Project,ERF101409,Fixed Delivery,210897,,123012,10.00,10.00,,,No,,Active,Apr-16
